,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
replaced,Replaced,更换,Reemplazado,जगह ले ली,استبدالها,Substituído,Заменены,置き換えた,Diganti,Ersetzt.,교체,Remplacé,భర్తీ చేయబడింది,Sostituito,Pinalitan
radar,Radar,雷达,Radar,राडार,رادار,Radar,Радиолокатор,レーダー,Radar,Radar,레이더,Radar,రాడార్,Radar,Radar
rescue,Rescue,救援,Rescate,बचाव,ينقذ,Resgate,Спасать,救援,Ngluwari,Rettung,구조하다,Porter secours,రెస్క్యూ,Salvare,Iligtas
undergraduate,Undergraduate,大学本科,De licenciatura,अवर,المرحلة الجامعية,Estudante universitário,Бакалавриат,学部,Sarjana,Studentenbündel,대학 재학생,Premier cycle,అండర్గ్రాడ్యుయేట్,Laurea,Undergraduate
losses,Losses,亏损,Pérdidas,हानि,خسائر,Perdas,Убытки,損失,Kerugian,Verluste,사상자 수,Pertes,నష్టాలు,Perdite,Pagkalugi
combat,Combat,战斗,Combate,लड़ाई,قتال,Combate,Бой,戦闘,Pertempuran,Kampf,전투,Combat,పోరాట,Combattere,Labanan
reducing,Reducing,减少,Reducción,कमी,تقليص,Redução de,Уменьшение,軽減,Ngurangi,Verringern.,감소,Réduire,తగ్గించడం,Ridurre,Pagbabawas
stopped,Stopped,停了下来,Interrumpido,रोका हुआ,توقفت,Parado,Остановился,停止,Mandheg,Gestoppt,멈췄다,Arrêté,ఆగిపోయింది,Fermato,Tumigil
occupation,Occupation,职业,Ocupación,पेशा,احتلال,Ocupação,Занятие,職業,Pakaryan,Beruf,직업,Occupation,వృత్తి,Occupazione,Trabaho
lakes,Lakes,湖泊,Lagos,झील,بحيرات,Lagos,Озера,湖,Lakes,Seen,호수,des lacs,సరస్సు,Laghi,Lawa
donations,Donations,捐赠,Donaciones,दान,التبرعات,Doações,Пожертвования,寄付金,Sumbangan,Spenden,기부금,Des dons,విరాళములు,Donazioni,Mga donasyon
associations,Associations,协会,Asociaciones,संघों,ذات الصلة,Associações,Ассоциации,協会,Asosiasi,Vereinigungen,협회,Les associations,సంఘాలు,Associazioni,Mga asosasyon
citysearch,Citysearch,CitySearch.,CitySearch,सिटीसर्च,citysearch.,CitySearch,Городской поиск,CitySearch.,CitySearch,Citysearch.,시시회,Citysearch,Citysearch.,Citysearch.,Citysearch
closely,Closely,密切,Cercanamente,निकट से,بعناية,De perto,Близко,密接に,Rapet,Eng,면밀히,Étroitement,దగ్గరగా,Strettamente,Malapit na
radiation,Radiation,辐射,Radiación,विकिरण,إشعاع,Radiação,Радиация,放射線,Radiasi,Strahlung,방사능,Radiation,రేడియేషన్,Radiazione,Radiation.
diary,Diary,日记,Diario,डायरी,مذكرات,Diário,Дневник,日記,Diary,Tagebuch,다이어리,Journal intime,డైరీ,Diario,Talaarawan
seriously,Seriously,严重地,Seriamente,गंभीरता से,عنجد,Seriamente,Шутки в сторону,真剣に,Serius,Ernsthaft,진지하게,Sérieusement,తీవ్రంగా,Sul serio,Seryoso
kings,Kings,国王,Reyes,राजाओं,الملوك,Kings.,Короги,王,Raja,Kings.,킹스,rois,రాజులు,Re,Kings.
shooting,Shooting,射击,Tiroteo,शूटिंग,اطلاق الرصاص,Tiroteio,Стрельба,撮影,Njupuk,Schießen,촬영,Tournage,షూటింగ్,Tiro,Pamamaril
kent,Kent,肯特,Kent,केंट,كينت,Kent.,Выступ,ケント,Kent,Kent,켄트,Kent,కెంట్,Kent,Kent.
adds,Adds,补充.,Agrega,जोड़ता,يضيف,Adiciona.,Добавляет,追加する,Nambah,Fügt hinzu,덧붙이 라,Ajoute,జతచేయుట,Aggiunge.,Nagdadagdag
nsw,Nsw,新南威尔士州,NSW,एनएसडब्ल्यू,NSW.,Nsw.,Носитель,n,Nsw,Nsw.,뉴스,NSW,Nsw.,Nsw.,NSW
ear,Ear,耳朵,Oreja,कान,أذن,Orelha,Ухо,耳,Kuping,Ohr,귀,Oreille,చెవి,Orecchio,Tainga
flags,Flags,旗帜,Banderas,झंडे,أعلام,Bandeiras,Флаги,旗,Gendéra,Flaggen,플래그,Drapeaux,ఫ్లాగ్స్,Bandiere,Flags.
pci,Pci,PCI.,Pci,पीसीआई,PCI.,PCI.,PCI.,PCI,PCI,PCI.,PCI.,Pci,PCI.,PCI.,PCI.
baker,Baker,贝克,panadero,"बेकर, नानबाई",خباز,padeiro,Пекарь,ベイカー,Baker,Bäcker,빵 굽는 사람,boulanger,బేకర్,panettiere,Baker.
launched,Launched,推出,Lanzado,शुरू,أطلقت,Lançado,Запущен,発売されました,Diluncurake,Gestartet,출시,Lancé,ప్రారంభించబడింది,Lanciato,Inilunsad
elsewhere,Elsewhere,别处,En otra parte,कहीं,في مكان آخر,Em outro lugar,В другом месте,他の場所で,Ing papan liya,Anderswo,그 외에,Autre part,మరెక్కడైనా,Altrove,Sa ibang lugar
pollution,Pollution,污染,Polución,प्रदूषण,التلوث,Poluição,Загрязнение,汚染,Polusi,Umweltverschmutzung,오염,la pollution,కాలుష్యం,Inquinamento,Polusyon
conservative,Conservative,保守的,Conservador,रूढ़िवादी,تحفظا,Conservador,Консервативный,保守的,Konservatif,Konservativ,보수적 인,Conservateur,కన్జర్వేటివ్,Conservatore,Konserbatibo
guestbook,Guestbook,留言簿,Libro de visitas,गेस्टबुक,سجل الزوار,Livro de visitas,Гостевая книга,ゲストブック,Buku Tamu,Gästebuch,방명록,Livre d'or,Guestbook.,Guestbook,Guestbook.
shock,Shock,震惊,Choque,झटका,صدمة,Choque,Шок,ショック,Kaget,Schock,충격,Choc,షాక్,Shock,Shock
effectiveness,Effectiveness,效力,Eficacia,प्रभावशीलता,فعالية,Eficácia,Эффективность,効果,Efektifitas,Wirksamkeit,유효성,Efficacité,ప్రభావం,Efficacia,Bisa
walls,Walls,墙壁,Paredes,दीवारों,الجدران,Paredes.,Стены,壁,Tembok,Wände,벽,Des murs,గోడలు,Muri,Walls.
abroad,Abroad,国外,En el extranjero,विदेश,في الخارج,No exterior,За рубеж,外国,Ing luar negeri,Im Ausland,해외에서,À l'étranger,విదేశాల్లో,All'estero,Sa ibang bansa
ebony,Ebony,乌木,Ébano,आबनूस,خشب الأبنوس,Ébano,Черное дерево,黒檀,Ebony,Ebenholz,흑단,Ébène,నల్లమందు,Ebano,Itim na kahoy
tie,Tie,领带,Atar,गुलोबन्द,ربطة عنق,Laço,Галстук,タイ,Dasi,Binden,묶다,Attacher,టై,Legare,Itali
ward,Ward,ward,pabellón,बालक,وارد,ala,сторожить,区,Ward,Station,구,salle,వార్డ్,reparto,Ward.
drawn,Drawn,画,Dibujado,अनिर्णित,مسحوب,Retirou,Нарисованный,描く,Digambar,Gezeichnet,그어진,Dessiné,డ్రా,Disegnato,Iguguhit
arthur,Arthur,亚瑟,Arturo,आर्थर,آرثر,Arthur,Артур,アーサー,Arthur,Arthur,아서,Arthur,ఆర్థర్,Arthur,Arthur.
ian,Ian,伊恩,Ian,इआन,إيان,Ian.,Ян,i,Ian,Ian,이안,Ian,Ian.,Ian.,Ian.
visited,Visited,访问了,Visitado,का दौरा किया,زار,Visitou,Посещение,訪問,Dikunjungi,hat besucht,방문했다,A visité,సందర్శించారు,Visitato,Binisita
roof,Roof,屋顶,Techo,छत,سطح,Cobertura,Крыша,屋根,Atap,Dach,지붕,Toit,పైకప్పు,Tetto,Bubong
walker,Walker,沃克,Caminante,वॉकर,ووكر,andador,Ходок,歩行者,Walker,Gehhilfe,보행자,Marcheur,వాకర్,Camminatore,Walker.
demonstrate,Demonstrate,证明,Demostrar,प्रदर्शन करना,يوضح,Demonstrar,Продемонстрировать,為替える,Demonstrasi,Zeigen,입증하다,Démontrer,ప్రదర్శిస్తారు,Dimostrare,Ipakita
atmosphere,Atmosphere,大气层,Atmósfera,वातावरण,الغلاف الجوي,Atmosfera,Атмосфера,雰囲気,Atmosfer,Atmosphäre,대기,Atmosphère,వాతావరణం,Atmosfera,Atmospera
suggests,Suggests,建议,Sugiere,पता चलता है,وتقترح,Sugere,Предлагает,suggest suggest,Nyaranake,Schlägt vor,제안,Suggère,సూచిస్తుంది,Suggerisce,Nagmumungkahi
kiss,Kiss,吻,Beso,चुंबन,قبلة,Beijo,Целовать,キス,Ngambung,Kuss,키스,Embrasser,ముద్దు,Bacio,Halik
beast,Beast,兽,Bestia,जानवर,وحش,Fera,Зверь,獣,Beast,Tier,짐승,Bête,మృగం,Bestia,Hayop
ra,Ra,ra.,Real academia de bellas artes,आरए,رائد,Ra.,Равна,ra,Ra,Ra.,라고,Rad,Ra.,RA,Ra.
operated,Operated,经营,Operado,संचालित,تديرها,Operado,Эксплуатируется,運転する,Dioperasi,Betrieben,움직이는,Exploité,నిర్వహణ,Operato,Pinatatakbo
experiment,Experiment,实验,Experimentar,प्रयोग,تجربة,Experimentar,Эксперимент,実験,Eksperimen,Experiment,실험,Expérience,ప్రయోగం,Sperimentare,Eksperimento
targets,Targets,目标,Objetivos,लक्ष्यों को,أهداف,Alvos,Целевые цели,ターゲット,Target,Ziele,목표물,Cibles,లక్ష్యాలు,Obiettivi,Mga target
overseas,Overseas,海外,Exterior,प्रवासी,ما وراء البحار,Em outro continente,Зарубежный,海外,Luar negeri,Übersee,해외,À l'étranger,విదేశీ,All'estero,Sa ibang bansa
purchases,Purchases,购买,Compras,खरीद,المشتريات,Compras,Покупки,購入する,Tuku,Käufe,구매,Achats,కొనుగోళ్లు,Acquisti,Mga pagbili
dodge,Dodge,躲闪,Esquivar,चकमा,يتملص,desviar,уклоняться,d d,Dodge,Ausweichen,다지,Esquive,డాడ్జ్,Schivare,Dodge
counsel,Counsel,法律顾问,Consejo,सलाह,محامي,Conselho,Советник,弁護士,Pitunjuk,Rat,조언,Conseil,న్యాయవాది,Consulenza,Payo
federation,Federation,联邦,Federación,फेडरेशन,اتحاد,Federação,Федерация,フェデレーション,Federasi,Föderation,연합,Fédération,ఫెడరేషన్,Federazione,Federation.
pizza,Pizza,比萨,Pizza,पिज़्ज़ा,بيتزا,pizza,Пицца,ピザ,Pizza,Pizza,피자,Pizza,పిజ్జా,Pizza,Pizza
invited,Invited,邀请,Invitado,आमंत्रित,مدعو,Convidamos,Приглашенный,招待,Diundang,Eingeladen,초대,Invité,ఆహ్వానం,Invitato,Inanyayahan
yards,Yards,码头,Patios,गज,ساحات,Yards.,Ярлыки,ヤード,Yard,Meter,야드,Mètres,Yards.,Cantieri,Yards.
assignment,Assignment,任务,Asignación,कार्यभार,مهمة,Atribuição,Назначение,割り当て,Tugas,Abtretung,과제,Mission,కేటాయింపు,Incarico,ASSIGNMENT.
chemicals,Chemicals,化学品,Químicos,रसायन,مواد كيميائية,Produtos químicos,Химические вещества,化学物質,Bahan kimia,Chemikalien,화학,Produits chimiques,రసాయనాలు,Sostanze chimiche,Mga kemikal
gordon,Gordon,戈登,Gordon,गॉर्डन,جوردون,Gordon.,Гордон,ゴードン,Gordon,Gordon,고든,Gordon,గోర్డాన్,Gordon.,Gordon.
mod,Mod,摩擦,Modificación,आधुनिक,عصري,Modificação,Мод,モッド,Mod,Mode,모드,Modeler,Mod.,Mod.,Mod
farmers,Farmers,农民,Agricultores,किसानों,المزارعين,Agricultores,Фермеры,農民,Petani,Landwirte,농부들,Les agriculteurs,రైతులు,Agricoltori,Mga magsasaka
rc,Rc,rc.,Rc,आर सी,RC.,Rc.,Rc.,rc.,Rc,Rc,rc.,Rc,Rc.,Rc.,RC.
queries,Queries,疑问,Consultas,प्रश्नों,الاستعلامات,Consultas,Запрашивает,qu qu,Pitakon,Anfragen,쿼리,Interprétation,ప్రశ్నలు,Interrogazioni,Query
bmw,Bmw,宝马,BMW,बीएमडब्ल्यू,بي ام دبليو,BMW,BMW,BMW,Bmw,BMW,BMW.,BMW,Bmw.,BMW,BMW.
rush,Rush,匆忙,Prisa,भीड़,يسرع,Pressa,Торопиться,急ぐ,Rush,Eilen,서두르다,Se précipiter,రష్,Fretta,Rush.
ukraine,Ukraine,乌克兰,Ucrania,यूक्रेन,أوكرانيا,Ucrânia,Украина,ウクライナ,Ukraina,Ukraine,우크라이나,Ukraine,యుక్రెయిన్,Ucraina,Ukraine.
absence,Absence,缺席,Ausencia,अनुपस्थिति,غياب,Ausência,Отсутствие,不在,Anané,Abwesenheit,결석,Absence,గర్భం,Assenza,Kawalan
nearest,Nearest,最近,Más cercano,निकटतम,أقرب,Mais próximo,Ближайший,最近の,Paling cedhak,Nächste,가장 가깝게,La plus proche,సమీపంలో,Più vicino,Pinakamalapit
cluster,Cluster,簇,Grupo,समूह,العنقودية,Cacho,Кластер,集まる,Kluster,Glühbirne.,무리,Grappe,క్లస్టర్,Grappolo,Kumpol
vendors,Vendors,供应商,Vendedores,विक्रेताओं,البائعين,Fornecedores,Поставщики,ベンダー,Vendor,Anbieter,벤더,Vendeurs,విక్రేతలు,Venditori,Vendor.
mpeg,Mpeg,MPEG.,Mpeg,एमपीईजी,واجب,MPEG.,MPEG,mp,Mpeg,Mpeg.,매핑,MPEG,Mpeg.,Mpeg.,Mpeg.
whereas,Whereas,然而,Mientras que,जबकि,بينما,Enquanto que,В то время как,一方,Déné,Wohingegen,반면,Tandis que,అయితే,Invece,Samantalang
yoga,Yoga,瑜伽,Yoga,योग,اليوغا,Ioga,Йога,ヨガ,Yoga,Yoga,요가,Yoga,యోగ,Yoga,Yoga.
serves,Serves,供应,Sirve,कार्य करता है,خدم,Serve,Служит,serv,Ngawula,Dienen,봉사합니다,Serre,పనిచేస్తుంది,Servi,Naglilingkod
woods,Woods,树木,bosque,वुड्स,الغابة,Madeiras,Лес,布団,Kayu,Wald,숲,les bois,వుడ్స్,boschi,gubat
surprise,Surprise,惊喜,Sorpresa,आश्चर्य,مفاجئة,Surpresa,Сюрприз,サプライズ,Kaget,Überraschung,놀라다,Surprendre,ఆశ్చర్యం,Sorpresa,Sorpresa
lamp,Lamp,灯,Lámpara,दीपक,خروف,Luminária,Напольная лампа,ランプ,Lampu,Lampe,램프,Lampe,దీపం,Lampada,Ilawan
rico,Rico,rico.,Rico,रिको,ريكو,Rico.,Рикос,リコー,Rico,Rico,리코,Rico,రికో,stecca,Rico.
partial,Partial,部分的,Parcial,आंशिक,جزئي,Parcial,Частичный,部分的,Sebagean,Teilweise,부분,Partiel,పాక్షికం,Parziale,Bahagyang
shoppers,Shoppers,购物者,Compradores,शॉपर्स,المتسوقين,Compradores.,Покупатели,買い物客,Pembeli,Käufer,구매자,Acheteur,దుకాణదారులను,Acquirenti,Mga mamimili
phil,Phil,菲尔,Phil,फिल,فلم,Phil,Фил,phil,Phil,Phila,필,Philos,ఫిల్,Phil.,Phil.
everybody,Everybody,每个人,Todos,हर,الجميع,Todo mundo,Все,every every,Kabeh wong,Alle,여러분,Tout le monde,అందరూ,Tutti,Lahat ng tao
couples,Couples,夫妻,Parejas,युगल,الأزواج,Casais,Пары,カップル,Pasangan,Paare,커플,Des couples,జంటలు,Coppie,Mga mag-asawa
nashville,Nashville,纳什维尔,Nashville,नैशविल,ناشفيل,Nashville,Нэшвилл,ナッシュビル,Nashville,Nashville,내슈빌,Nashville,నాష్విల్లె,Nashville.,Nashville.
ranking,Ranking,排行,Clasificación,श्रेणी,تصنيف,Ranking.,Рейтинг,ランキング,Ranking,Rangfolge,순위,Classement,ర్యాంకింగ్,classifica,Ranggo
jokes,Jokes,笑话,Chistes,मजाक,نكات,Piadas,Шутки,ジョーク,Lelucon,Witze,농담,Blagues,జోకులు,Battute,Jokes.
cst,Cst,CST.,Cst,सीएसटी,جدد,Cst.,Смягчать,c,Cst,CST.,CST.,CST,Cst.,Cst,CST.
http,Http,http.,Http,एचटीटीपी,http.,Http.,Http.,http.,Http,Http.,해당,Http,Http.,Http.,Http
ceo,Ceo,首席执行官,CEO,सीईओ,المدير التنفيذي,CEO,Исполнительный директор,最高経営責任者（CEO,CEO,CEO,최고 경영자,PDG,సియిఒ,Amministratore delegato,CEO.
simpson,Simpson,辛普森,Simponia,सिम्पसन,سيمبسون,Simpson.,Симпсон,シンプソン,Simpson,Simpson,심슨,Simpson,సింప్సన్,Simpson.,Simpson.
twiki,Twiki,Twiki.,Twiki,Twiki,twiki.,Twiki.,Twiki,Twiki.,Twiki,Twiki,트위키,Twiki,Twiki.,Twiki.,Twiki.
